New Relic for Node.js was unable to bootstrap itself due to an error:
Error: New Relic requires that you name this application!
Set app_name in your newrelic.js or newrelic.cjs file or set environment variable
NEW_RELIC_APP_NAME. Not starting!
    at createAgent (/home/god/.vscode-insiders/extensions/codestream.codestream-15.1.1/dist/node_modules/newrelic/index.js:160:11)
    at initialize (/home/god/.vscode-insiders/extensions/codestream.codestream-15.1.1/dist/node_modules/newrelic/index.js:105:15)
    at Object.<anonymous> (/home/god/.vscode-insiders/extensions/codestream.codestream-15.1.1/dist/node_modules/newrelic/index.js:39:3)
    at Module._compile (node:internal/modules/cjs/loader:1316:14)
    at Object.Module._extensions..js (node:internal/modules/cjs/loader:1371:10)
    at Module.load (node:internal/modules/cjs/loader:1171:32)
    at Module._load (node:internal/modules/cjs/loader:1012:12)
    at Function.f._load (node:electron/js2c/asar_bundle:2:13330)
    at Module.require (node:internal/modules/cjs/loader:1195:19)
    at require (node:internal/modules/cjs/helpers:110:18)
Loaded /home/god/.vscode-insiders/extensions/codestream.codestream-15.1.1/dist/index.js.map mapper
[2024-02-07 10:04:10:105] Git found: 2.39.3 @ /usr/bin/git • 20 ms
[2024-02-07 10:04:10:107] Agent for CodeStream v15.1.1-4430 in VS Code (v1.82.0-insider) initializing...
[2024-02-07 10:04:10:108] RepositoryLocator.start: waiting on session.ready
[2024-02-07 10:04:10:110] Node.js version: v18.15.0
[2024-02-07 10:04:10:110] NODE_* environment variables:
[2024-02-07 10:04:10:110] NODE_TLS_REJECT_UNAUTHORIZED=1
[2024-02-07 10:04:10:110] NODE_EXTRA_CA_CERTS=null
[2024-02-07 10:04:10:110] Proxy support is in override with url=http://10.1.1.154:2020, strictSSL=true
[2024-02-07 10:04:10:114] API Server URL: >https://codestream-us1.service.newrelic.com<
[2024-02-07 10:04:10:114] Reject unauthorized: true
[2024-02-07 10:04:10:115] Verifying API server connectivity
[2024-02-07 10:04:10:132] CodeStreamAgent.registerHandler(codestream/reporting/message)
[2024-02-07 10:04:10:132] CodeStreamAgent.registerHandler(codestream/reporting/breadcrumb)
[2024-02-07 10:04:10:132] CodeStreamAgent.registerHandler(codestream/webview/error)
[2024-02-07 10:04:10:132] CodeStreamAgent.registerHandler(codestream/codeErrors)
[2024-02-07 10:04:10:132] CodeStreamAgent.registerHandler(codestream/codeError)
[2024-02-07 10:04:10:132] CodeStreamAgent.registerHandler(codestream/codeError/update)
[2024-02-07 10:04:10:132] CodeStreamAgent.registerHandler(codestream/codeError/delete)
[2024-02-07 10:04:10:132] CodeStreamAgent.registerHandler(codestream/codeErrors/claim)
[2024-02-07 10:04:10:132] CodeStreamAgent.registerHandler(codestream/codemarks/create)
[2024-02-07 10:04:10:132] CodeStreamAgent.registerHandler(codestream/codemark/permalink)
[2024-02-07 10:04:10:132] CodeStreamAgent.registerHandler(codestream/codemarks)
[2024-02-07 10:04:10:132] CodeStreamAgent.registerHandler(codestream/codemark/sha1)
[2024-02-07 10:04:10:133] CodeStreamAgent.registerHandler(codestream/codemark/range)
[2024-02-07 10:04:10:133] CodeStreamAgent.registerHandler(codestream/codemark/delete)
[2024-02-07 10:04:10:133] CodeStreamAgent.registerHandler(codestream/codemark/update)
[2024-02-07 10:04:10:133] CodeStreamAgent.registerHandler(codestream/codemark/setPinned)
[2024-02-07 10:04:10:133] CodeStreamAgent.registerHandler(codestream/codemark/pinReply)
[2024-02-07 10:04:10:133] CodeStreamAgent.registerHandler(codestream/codemark/follow)
[2024-02-07 10:04:10:133] CodeStreamAgent.registerHandler(codestream/review/follow)
[2024-02-07 10:04:10:133] CodeStreamAgent.registerHandler(codestream/codeError/follow)
[2024-02-07 10:04:10:133] CodeStreamAgent.registerHandler(codestream/codemark/setStatus)
[2024-02-07 10:04:10:133] CodeStreamAgent.registerHandler(codestream/companies)
[2024-02-07 10:04:10:133] CodeStreamAgent.registerHandler(codestream/reviews)
[2024-02-07 10:04:10:133] CodeStreamAgent.registerHandler(codestream/review)
[2024-02-07 10:04:10:133] CodeStreamAgent.registerHandler(codestream/review/contentsLocal)
[2024-02-07 10:04:10:133] CodeStreamAgent.registerHandler(codestream/review/allContents)
[2024-02-07 10:04:10:133] CodeStreamAgent.registerHandler(codestream/review/coverage)
[2024-02-07 10:04:10:133] CodeStreamAgent.registerHandler(codestream/review/contents)
[2024-02-07 10:04:10:133] CodeStreamAgent.registerHandler(codestream/review/update)
[2024-02-07 10:04:10:133] CodeStreamAgent.registerHandler(codestream/review/delete)
[2024-02-07 10:04:10:133] CodeStreamAgent.registerHandler(codestream/review/checkPreconditions)
[2024-02-07 10:04:10:133] CodeStreamAgent.registerHandler(codestream/review/pr/checkPreconditions)
[2024-02-07 10:04:10:133] CodeStreamAgent.registerHandler(codestream/review/pr/create)
[2024-02-07 10:04:10:133] CodeStreamAgent.registerHandler(codestream/review/start)
[2024-02-07 10:04:10:133] CodeStreamAgent.registerHandler(codestream/review/pause)
[2024-02-07 10:04:10:133] CodeStreamAgent.registerHandler(codestream/review/end)
[2024-02-07 10:04:10:133] CodeStreamAgent.registerHandler(codestream/textDocument/markers/create/link)
[2024-02-07 10:04:10:133] CodeStreamAgent.registerHandler(codestream/textDocument/markers)
[2024-02-07 10:04:10:133] CodeStreamAgent.registerHandler(codestream/textDocument/fromKey)
[2024-02-07 10:04:10:133] CodeStreamAgent.registerHandler(codestream/textDocument/fromMarker)
[2024-02-07 10:04:10:133] CodeStreamAgent.registerHandler(codestream/textDocument/calculateNonLocalRanges)
[2024-02-07 10:04:10:133] CodeStreamAgent.registerHandler(codestream/streams/fileStream)
[2024-02-07 10:04:10:133] CodeStreamAgent.registerHandler(codestream/streams/file)
[2024-02-07 10:04:10:133] CodeStreamAgent.registerHandler(codestream/repos/ignore-files)
[2024-02-07 10:04:10:133] CodeStreamAgent.registerHandler(codestream/repos/ignore-files/add)
[2024-02-07 10:04:10:133] CodeStreamAgent.registerHandler(codestream/marker)
[2024-02-07 10:04:10:133] CodeStreamAgent.registerHandler(codestream/marker/move)
[2024-02-07 10:04:10:133] CodeStreamAgent.registerHandler(codestream/markers/add)
[2024-02-07 10:04:10:133] CodeStreamAgent.registerHandler(codestream/marker/delete)
[2024-02-07 10:04:10:133] CodeStreamAgent.registerHandler(codestream/nr/parseStackTrace)
[2024-02-07 10:04:10:133] CodeStreamAgent.registerHandler(codestream/nr/resolveStackTrace)
[2024-02-07 10:04:10:133] CodeStreamAgent.registerHandler(codestream/nr/resolveStackTracePosition)
[2024-02-07 10:04:10:133] CodeStreamAgent.registerHandler(codestream/nr/findCandidateMainFiles)
[2024-02-07 10:04:10:133] CodeStreamAgent.registerHandler(codestream/nr/installNewRelic)
[2024-02-07 10:04:10:133] CodeStreamAgent.registerHandler(codestream/nr/createNewRelicConfigFile)
[2024-02-07 10:04:10:133] CodeStreamAgent.registerHandler(codestream/nr/addNewRelicInclude)
[2024-02-07 10:04:10:133] CodeStreamAgent.registerHandler(codestream/nr/getRepoFileFromAbsolutePath)
[2024-02-07 10:04:10:133] CodeStreamAgent.registerHandler(codestream/posts)
[2024-02-07 10:04:10:133] CodeStreamAgent.registerHandler(codestream/posts/byIds)
[2024-02-07 10:04:10:133] CodeStreamAgent.registerHandler(codestream/posts/activity)
[2024-02-07 10:04:10:133] CodeStreamAgent.registerHandler(codestream/post/replies)
[2024-02-07 10:04:10:133] CodeStreamAgent.registerHandler(codestream/codemarks/sharing/create)
[2024-02-07 10:04:10:133] CodeStreamAgent.registerHandler(codestream/reviews/create)
[2024-02-07 10:04:10:133] CodeStreamAgent.registerHandler(codestream/codeErrors/create)
[2024-02-07 10:04:10:133] CodeStreamAgent.registerHandler(codestream/posts/create)
[2024-02-07 10:04:10:133] CodeStreamAgent.registerHandler(codestream/posts/createWithCodemark)
[2024-02-07 10:04:10:133] CodeStreamAgent.registerHandler(codestream/post/delete)
[2024-02-07 10:04:10:133] CodeStreamAgent.registerHandler(codestream/post/edit)
[2024-02-07 10:04:10:133] CodeStreamAgent.registerHandler(codestream/post/share-update)
[2024-02-07 10:04:10:133] CodeStreamAgent.registerHandler(codestream/post/share-via-server)
[2024-02-07 10:04:10:133] CodeStreamAgent.registerHandler(codestream/post/markUnread)
[2024-02-07 10:04:10:133] CodeStreamAgent.registerHandler(codestream/post/markRead)
[2024-02-07 10:04:10:134] CodeStreamAgent.registerHandler(codestream/post/react)
[2024-02-07 10:04:10:134] CodeStreamAgent.registerHandler(codestream/post)
[2024-02-07 10:04:10:134] CodeStreamAgent.registerHandler(codestream/repos/map)
[2024-02-07 10:04:10:134] CodeStreamAgent.registerHandler(codestream/normalizeUrl)
[2024-02-07 10:04:10:134] CodeStreamAgent.registerHandler(codestream/repos/create)
[2024-02-07 10:04:10:134] CodeStreamAgent.registerHandler(codestream/repos)
[2024-02-07 10:04:10:134] CodeStreamAgent.registerHandler(codestream/repo)
[2024-02-07 10:04:10:134] CodeStreamAgent.registerHandler(codestream/scm/commit)
[2024-02-07 10:04:10:134] CodeStreamAgent.registerHandler(codestream/scm/repos)
[2024-02-07 10:04:10:134] CodeStreamAgent.registerHandler(codestream/scm/repo/statuses)
[2024-02-07 10:04:10:134] CodeStreamAgent.registerHandler(codestream/scm/branches)
[2024-02-07 10:04:10:134] CodeStreamAgent.registerHandler(codestream/scm/create-branch)
[2024-02-07 10:04:10:134] CodeStreamAgent.registerHandler(codestream/scm/switch-branch)
[2024-02-07 10:04:10:134] CodeStreamAgent.registerHandler(codestream/scm/repo/status)
[2024-02-07 10:04:10:134] CodeStreamAgent.registerHandler(codestream/scm/file/info)
[2024-02-07 10:04:10:134] CodeStreamAgent.registerHandler(codestream/scm/range/info)
[2024-02-07 10:04:10:134] CodeStreamAgent.registerHandler(codestream/scm/range/sha1)
[2024-02-07 10:04:10:134] CodeStreamAgent.registerHandler(codestream/scm/sha1/ranges)
[2024-02-07 10:04:10:134] CodeStreamAgent.registerHandler(codestream/scm/latestCommitters)
[2024-02-07 10:04:10:134] CodeStreamAgent.registerHandler(codestream/scm/latestCommit)
[2024-02-07 10:04:10:134] CodeStreamAgent.registerHandler(codestream/scm/blame)
[2024-02-07 10:04:10:134] CodeStreamAgent.registerHandler(codestream/scm/commitAndPush)
[2024-02-07 10:04:10:134] CodeStreamAgent.registerHandler(codestream/scm/remotes)
[2024-02-07 10:04:10:134] CodeStreamAgent.registerHandler(codestream/scm/remoteBranch)
[2024-02-07 10:04:10:134] CodeStreamAgent.registerHandler(codestream/scm/commitsStatus)
[2024-02-07 10:04:10:134] CodeStreamAgent.registerHandler(codestream/scm/file/diff)
[2024-02-07 10:04:10:134] CodeStreamAgent.registerHandler(codestream/scm/branches/diff)
[2024-02-07 10:04:10:134] CodeStreamAgent.registerHandler(codestream/scm/forkPoint)
[2024-02-07 10:04:10:134] CodeStreamAgent.registerHandler(codestream/scm/commits/files)
[2024-02-07 10:04:10:134] CodeStreamAgent.registerHandler(codestream/api/get)
[2024-02-07 10:04:10:134] CodeStreamAgent.registerHandler(codestream/api/post)
[2024-02-07 10:04:10:134] CodeStreamAgent.registerHandler(codestream/api/put)
[2024-02-07 10:04:10:134] CodeStreamAgent.registerHandler(codestream/api/delete)
[2024-02-07 10:04:10:134] CodeStreamAgent.registerHandler(codestream/streams)
[2024-02-07 10:04:10:134] CodeStreamAgent.registerHandler(codestream/streams/unread)
[2024-02-07 10:04:10:134] CodeStreamAgent.registerHandler(codestream/streams/createChannel)
[2024-02-07 10:04:10:134] CodeStreamAgent.registerHandler(codestream/streams/createDirect)
[2024-02-07 10:04:10:134] CodeStreamAgent.registerHandler(codestream/stream/archive)
[2024-02-07 10:04:10:134] CodeStreamAgent.registerHandler(codestream/stream/close)
[2024-02-07 10:04:10:134] CodeStreamAgent.registerHandler(codestream/stream/join)
[2024-02-07 10:04:10:134] CodeStreamAgent.registerHandler(codestream/stream/leave)
[2024-02-07 10:04:10:134] CodeStreamAgent.registerHandler(codestream/stream/markRead)
[2024-02-07 10:04:10:134] CodeStreamAgent.registerHandler(codestream/stream/mute)
[2024-02-07 10:04:10:134] CodeStreamAgent.registerHandler(codestream/stream/open)
[2024-02-07 10:04:10:134] CodeStreamAgent.registerHandler(codestream/stream/rename)
[2024-02-07 10:04:10:134] CodeStreamAgent.registerHandler(codestream/stream/setPurpose)
[2024-02-07 10:04:10:134] CodeStreamAgent.registerHandler(codestream/stream/unarchive)
[2024-02-07 10:04:10:134] CodeStreamAgent.registerHandler(codestream/stream/updateMembership)
[2024-02-07 10:04:10:134] CodeStreamAgent.registerHandler(codestream/stream)
[2024-02-07 10:04:10:134] CodeStreamAgent.registerHandler(codestream/teams)
[2024-02-07 10:04:10:134] CodeStreamAgent.registerHandler(codestream/team)
[2024-02-07 10:04:10:134] CodeStreamAgent.registerHandler(codestream/telemetry)
[2024-02-07 10:04:10:134] CodeStreamAgent.registerHandler(codestream/anonymousId)
[2024-02-07 10:04:10:134] CodeStreamAgent.registerHandler(codestream/telemetry/setAnonymousId)
